,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
287,29,0.002624146,348,0.002478647,115,0.002416527,342,0.002301069
288,185,0.002620782,107,0.002475755,420,0.00240261,409,0.002299504
289,191,0.002617383,161,0.002473226,409,0.002401366,303,0.002277321
290,107,0.002613214,463,0.002470766,410,0.002389479,591,0.002276407
291,298,0.002598219,204,0.002457926,75,0.002380763,305,0.002263225
292,427,0.002589717,191,0.002448248,345,0.002374043,21,0.002260468
293,387,0.002570281,75,0.002432986,161,0.002367275,453,0.002250252
294,421,0.002565196,332,0.002428702,279,0.00235017,107,0.002221686
295,348,0.002548007,410,0.002424557,591,0.002334612,106,0.002220481
296,4,0.002533548,331,0.002423637,421,0.002323195,292,0.002216109
297,274,0.002533435,279,0.00241813,453,0.002296316,94,0.002208623
298,574,0.002518184,421,0.002412691,232,0.00229288,622,0.002190282
299,279,0.00251652,301,0.002401841,286,0.002289287,286,0.002186775
300,463,0.002515941,420,0.002395586,292,0.002288256,4,0.002174651
301,497,0.002511915,185,0.002385174,6,0.002277093,25,0.002173085
302,144,0.002494406,447,0.002381796,35,0.002255221,618,0.002168617
303,290,0.002491795,453,0.002346355,71,0.002231608,620,0.002165529
304,596,0.002469439,236,0.002343582,246,0.002229655,3,0.00215468
305,75,0.002460132,591,0.002338544,4,0.002227255,349,0.002140886
306,71,0.002454359,71,0.002334791,185,0.002219994,111,0.002139366
307,420,0.00244837,497,0.002332101,459,0.002211062,344,0.002129651
308,398,0.002446328,336,0.002328366,305,0.002204461,497,0.0021237
309,204,0.002437832,35,0.002320616,595,0.002203879,299,0.002102126
310,588,0.002435077,4,0.002315407,3,0.002202904,398,0.002092111
311,345,0.002431764,494,0.002298455,497,0.002197391,32,0.002085593
312,301,0.002431522,596,0.002297604,236,0.002197088,588,0.002078842
313,241,0.002426749,6,0.002293159,390,0.00219212,71,0.002065524
314,34,0.002426356,345,0.00229236,447,0.002181795,163,0.00206513
315,236,0.002419499,25,0.002269824,332,0.002177058,324,0.002060598
316,25,0.002409583,620,0.00226534,336,0.002169479,185,0.002052469
317,453,0.002404584,232,0.002257744,596,0.002159565,390,0.002052004
318,331,0.002399081,541,0.002255434,25,0.002149823,447,0.002051315
319,6,0.00239074,111,0.002248534,620,0.00214876,336,0.00203534
320,35,0.002390353,459,0.002247642,458,0.002136991,458,0.002023178
321,232,0.002381213,305,0.00223441,111,0.002130278,18,0.002003244
322,323,0.002374079,323,0.002231023,541,0.00212256,596,0.001995609
323,591,0.002374041,3,0.002228547,156,0.002111845,156,0.00199419
324,149,0.002367088,349,0.002209493,349,0.002106014,449,0.001993342
325,395,0.002356253,390,0.002209019,32,0.002070775,505,0.00198643
326,541,0.00235455,144,0.002202736,323,0.002067992,236,0.001985404
327,111,0.002331073,395,0.002180551,144,0.002064729,233,0.001978373
328,589,0.002287077,431,0.002160182,163,0.002064496,501,0.001955731
329,620,0.002287022,241,0.00215772,398,0.002058879,541,0.001952601
330,349,0.002273823,398,0.002155404,299,0.002053835,355,0.001952096
331,431,0.002269064,458,0.00215409,18,0.002050303,12,0.00194508
332,153,0.002259669,290,0.002139327,588,0.002045602,431,0.001943352
333,449,0.002242483,156,0.002118313,449,0.002040672,448,0.001936385
334,18,0.002236833,18,0.002112787,431,0.002027574,150,0.001928624
335,458,0.002234157,449,0.002112655,604,0.002012763,343,0.001921891
336,3,0.002232827,32,0.002105422,324,0.001998147,468,0.001915322
337,336,0.002230204,604,0.002104506,12,0.001991569,224,0.001899595
338,459,0.002222603,588,0.002101133,468,0.001990255,604,0.001899272
339,148,0.002205818,163,0.002090774,290,0.001962506,595,0.001889292
340,390,0.002200492,468,0.002068629,494,0.0019546,459,0.001885185
341,299,0.00219652,569,0.002067912,501,0.001943023,569,0.001875119
342,604,0.002193231,299,0.00206668,72,0.00193801,332,0.0018751
343,305,0.002192612,324,0.002063389,241,0.001926328,158,0.001868176
344,569,0.002174051,34,0.002060018,569,0.001921607,147,0.00185385
345,32,0.00216865,148,0.002054142,34,0.001917748,323,0.001851129
346,468,0.0021605,72,0.002046498,224,0.001917103,34,0.001844892
347,501,0.00214694,501,0.002045128,150,0.001911045,246,0.001843855
348,67,0.00214623,12,0.002018205,395,0.001895463,72,0.001840689
349,72,0.002145905,150,0.001962258,334,0.001895059,144,0.00183905
350,156,0.00212913,162,0.001955032,355,0.001892651,566,0.001822853
351,162,0.002100676,67,0.001954336,147,0.001874346,254,0.001821152
352,443,0.002096915,23,0.001950951,148,0.001867019,334,0.001819712
353,163,0.002080906,224,0.001949988,343,0.001858448,67,0.001810434
354,324,0.002076527,149,0.001949428,162,0.001854706,464,0.00179124
355,12,0.002076205,355,0.001948789,448,0.001852574,565,0.001770094
356,355,0.002072244,589,0.001905525,67,0.001817328,504,0.001766215
357,23,0.002028978,334,0.001902213,23,0.001814232,494,0.001765057
358,612,0.002021283,274,0.001887287,158,0.001806995,395,0.001754153
359,334,0.002015307,566,0.001884432,565,0.001806316,162,0.001745788
360,566,0.002001901,273,0.001866872,464,0.001802488,241,0.001740442
361,273,0.001990256,464,0.001857058,149,0.001796765,403,0.001719051
362,165,0.001955207,565,0.001850328,566,0.001794849,583,0.00171218
363,377,0.001950064,147,0.001846356,254,0.001780563,273,0.001707523
364,187,0.00194601,254,0.001843623,273,0.001759708,589,0.001703062
365,224,0.001944888,153,0.001822641,403,0.001753571,152,0.001684728
366,565,0.001941295,578,0.001814177,504,0.001747797,290,0.001675999
367,150,0.001930424,343,0.001810504,578,0.001730073,187,0.001673828
368,254,0.001914832,377,0.001798535,152,0.001723096,443,0.001672674
369,464,0.001907041,443,0.001797811,589,0.001718393,578,0.001649503
370,333,0.001899264,448,0.001797154,443,0.001702614,149,0.001622622
371,147,0.001896968,504,0.001788869,583,0.001659229,165,0.001622578
372,578,0.001893586,158,0.001763958,165,0.001637379,502,0.001618316
373,119,0.001890951,152,0.001756598,377,0.00162807,579,0.001614582
374,504,0.001874506,339,0.001748998,579,0.001625039,423,0.001597153
375,5,0.001856539,165,0.001748206,491,0.001621042,491,0.001595526
376,36,0.001844332,403,0.00174773,502,0.001616217,466,0.001569801
377,251,0.001840699,119,0.001718696,339,0.001609328,300,0.001567635
378,152,0.00183426,579,0.00170541,119,0.001608999,564,0.001549999
379,602,0.001833635,69,0.001705197,187,0.001599912,445,0.00150222
380,448,0.001833109,612,0.00169973,5,0.001594425,26,0.001497663
381,339,0.001829879,5,0.001699038,249,0.001580687,5,0.001488847
382,623,0.001827419,491,0.001690971,466,0.001558647,69,0.00148864
383,343,0.001818372,602,0.001682596,69,0.001557407,196,0.001480582
384,579,0.001808579,583,0.001676613,423,0.001549955,119,0.001478898
385,603,0.00180083,249,0.00166017,602,0.001545062,590,0.001478019
386,69,0.001791326,404,0.001657997,404,0.00152101,249,0.001466975
387,491,0.001789736,603,0.001657794,226,0.001520926,226,0.001437333
388,564,0.001783923,502,0.001653762,26,0.001519461,399,0.001433359
389,249,0.001773707,187,0.001625697,564,0.001509314,593,0.001433313
390,403,0.001753089,623,0.001621413,153,0.001501893,377,0.001425467
391,158,0.001745258,564,0.001610022,300,0.001488668,197,0.001417298
392,502,0.001742562,226,0.001583719,230,0.001471906,339,0.00140944
393,404,0.001742554,423,0.001581787,196,0.001455416,148,0.001395062
394,583,0.001741796,466,0.001580264,590,0.00145002,436,0.001391422
395,26,0.001723719,26,0.00157219,603,0.001444635,23,0.001378151
396,230,0.001713875,593,0.001570486,399,0.001435194,225,0.001377836
397,599,0.001710125,230,0.001560911,225,0.001427414,112,0.00137513
398,593,0.001656842,592,0.001549131,623,0.00141935,594,0.001360417
399,243,0.001648529,196,0.001531103,436,0.001415915,230,0.001354113
400,423,0.001645527,251,0.001528979,593,0.001409558,404,0.001346169
